entry_date,exit_date,ticker,name,score,returns(%),win
2025-10-01,2025-11-19,000660,SK하이닉스,61.5,56.11,True
2025-10-01,2025-11-19,018260,삼성에스디에스,61.5,-1.44,False
2025-10-01,2025-11-19,042700,한미반도체,61.5,27.19,True
2025-10-01,2025-11-19,055550,신한지주,61.5,8.79,True
2025-10-01,2025-11-19,058470,리노공업,61.5,6.45,True
2025-11-03,2025-12-15,000880,한화,61.5,-16.87,False
2025-11-03,2025-12-15,016360,삼성증권,61.5,1.03,True
2025-11-03,2025-12-15,058470,리노공업,61.5,6.21,True
2025-11-03,2025-12-15,066570,LG전자,61.5,8.01,True
2025-11-03,2025-12-15,272210,한화시스템,61.5,-11.28,False
2025-12-01,2026-01-15,000810,삼성화재,61.5,-5.28,False
2025-12-01,2026-01-15,016360,삼성증권,61.5,3.91,True
2025-12-01,2026-01-15,024110,기업은행,61.5,0.0,False
2025-12-01,2026-01-15,029780,삼성카드,61.5,-4.2,False
2025-12-01,2026-01-15,033780,KT&G,61.5,0.14,True
2026-01-02,2026-02-13,005387,현대차2우B,61.5,23.19,True
2026-01-02,2026-02-13,005940,NH투자증권,61.5,45.07,True
2026-01-02,2026-02-13,012330,현대모비스,61.5,17.89,True
2026-01-02,2026-02-13,086280,현대글로비스,61.5,40.96,True
2026-01-02,2026-02-13,000250,삼천당제약,59.2,118.81,True
2026-02-02,2026-03-20,272210,한화시스템,61.5,46.39,True
2026-02-02,2026-03-20,004170,신세계,59.2,9.73,True
2026-02-02,2026-03-20,009150,삼성전기,57.8,64.13,True
2026-02-02,2026-03-20,000270,기아,54.5,12.26,True
2026-02-02,2026-03-20,000660,SK하이닉스,54.5,21.33,True
2026-03-03,2026-04-14,240810,원익IPS,61.5,-1.21,False
2026-03-03,2026-04-14,241560,두산밥캣,61.5,6.01,True
2026-03-03,2026-04-14,950160,코오롱티슈진,61.5,-9.13,False
2026-03-03,2026-04-14,000880,한화,59.2,-10.54,False
2026-03-03,2026-04-14,005380,현대차,59.2,-17.39,False
2026-04-01,2026-05-15,006260,LS,61.5,69.66,True
2026-04-01,2026-05-15,009150,삼성전기,61.5,127.22,True
2026-04-01,2026-05-15,010120,LS ELECTRIC,61.5,63.1,True
2026-04-01,2026-05-15,032830,삼성생명,61.5,36.56,True
2026-04-01,2026-05-15,078930,GS,61.5,15.03,True
2026-05-04,2026-06-18,003230,삼양식품,61.5,-15.58,False
2026-05-04,2026-06-18,006800,미래에셋증권,61.5,-27.88,False
2026-05-04,2026-06-18,017670,SK텔레콤,61.5,-1.54,False
2026-05-04,2026-06-18,071050,한국금융지주,61.5,-12.02,False
2026-05-04,2026-06-18,079550,LIG디펜스앤에어로스페이스,61.5,-10.07,False
2026-06-01,2026-07-14,033780,KT&G,61.5,-7.62,False
2026-06-01,2026-07-14,000150,두산,59.2,-44.76,False
2026-06-01,2026-07-14,005380,현대차,59.2,-43.4,False
2026-06-01,2026-07-14,005387,현대차2우B,59.2,-32.39,False
2026-06-01,2026-07-14,005930,삼성전자,59.2,-24.64,False
